Index	Gene	PCC	KLS Degree	KSS Degree
0	GRMZM2G387890	0.416228078068	5	0
1	GRMZM2G007385	0.28584326564	2	11
2	GRMZM2G111818	0.443021190029	11	1
3	GRMZM2G168119	0.0803918088997	21	5
4	GRMZM2G072219	0.294184285213	26	0
5	GRMZM2G147687	0.431240969031	9	0
6	GRMZM5G835794	0.40336946419	7	0
7	GRMZM2G334165	0.456495223377	9	0
8	GRMZM2G153797	0.164524335514	10	0
9	GRMZM2G128832	0.333438462653	47	0
10	GRMZM2G080524	0.446887543202	6	0
11	GRMZM2G101125	0.340076967461	6	0
12	AC234160.1_FG001	0.325681174089	11	0
13	GRMZM2G473310	0.309522813296	14	0
14	GRMZM2G123371	0.497748973424	233	0
15	GRMZM2G058498	0.475797787714	10	0
16	GRMZM2G015238	0.251953003005	8	1
17	GRMZM2G457309	0.414876644956	9	0
18	GRMZM2G044023	0.467648023014	1	22
19	GRMZM2G004908	0.219401791224	11	0
20	GRMZM2G093359	0.299059397432	7	19
21	GRMZM2G119079	0.191303445247	8	0
22	GRMZM2G412150	0.255216549204	5	0
23	GRMZM2G048377	0.232517491945	6	0
24	GRMZM2G029396	0.416512390043	2	32
25	GRMZM2G448715	-0.111959239345	18	0
26	GRMZM2G059117	0.487272393455	37	0
27	GRMZM2G044947	0.449060378202	7	0
28	GRMZM2G342515	0.412354049449	6	0
29	GRMZM2G143780	0.239273693316	9	0
30	GRMZM2G137176	0.0581842777406	7	0
31	GRMZM2G084587	0.493726375193	7	0
32	GRMZM5G828630	0.0393234508798	5	0
33	GRMZM2G432774	0.425395247634	6	0
34	GRMZM2G125893	0.439836375142	5	0
35	GRMZM2G147869	0.148521787759	11	0
36	GRMZM2G344279	0.0311395690569	13	0
37	GRMZM2G312661	0.436106645537	6	0
38	GRMZM2G082785	0.186712558858	21	0
39	GRMZM2G321420	0.195258754412	15	0
40	GRMZM2G406170	0.37403590488	42	0
41	GRMZM2G066153	0.301838801587	0	6
42	GRMZM2G071808	0.355406059029	14	0
43	GRMZM2G103755	0.381249259082	14	0
44	GRMZM2G443447	0.234827310595	6	0
45	GRMZM2G010460	0.467281408483	11	0
46	GRMZM2G087413	0.17919476527	12	0
47	GRMZM2G090980	0.436701716669	6	0
48	GRMZM2G464782	0.396046366752	18	40
49	GRMZM2G017110	0.459397141826	20	0
50	GRMZM2G312974	0.159742314144	12	0
51	GRMZM2G094705	0.408560773904	0	6
52	GRMZM2G113250	-0.258065748022	0	18
53	GRMZM2G014276	-0.098372913478	7	2
54	GRMZM2G101282	0.430192234283	5	0
55	GRMZM2G027995	0.479622829869	5	2
56	GRMZM2G402156	0.484790736549	23	0
57	GRMZM2G175549	0.19768691831	8	0
58	GRMZM2G040030	0.453585200671	0	18
59	GRMZM2G156476	0.479498811245	11	0
60	GRMZM2G028132	0.359044786715	7	0
61	GRMZM2G379540	0.455220385346	6	0
62	GRMZM2G038677	-0.419420400963	6	0
63	GRMZM2G063322	0.130640671468	12	0
64	GRMZM2G064374	0.0981160893179	5	0
65	GRMZM5G825515	0.393347364388	26	0
66	GRMZM2G121137	0.423463796749	53	1
67	GRMZM2G070378	-0.0456569379326	7	0
68	GRMZM2G071441	0.482625338708	9	1
69	GRMZM2G055172	0.317790653982	23	0
70	GRMZM2G081585	0.125918779589	7	0
71	GRMZM2G095905	0.462599357001	6	0
72	GRMZM2G108057	0.281788963336	7	0
73	GRMZM2G438938	0.179733429178	13	0
74	GRMZM2G035741	0.0375417108762	6	0
75	GRMZM2G139805	-0.0280861063573	16	12
76	GRMZM2G379913	0.168319516994	13	0
77	GRMZM2G123585	0.34530151467	9	0
